[TEST] Preformance Test: findAllPollard with 8-bits primes.
[Integer to Factor]	[Elapsed Time]	[Memory Usage]	[Int Memory Usage]	[Factors]
3170756791	0.001127004623413	704	256	30689, 103319
3331464623	0.000503063201904	704	256	115873, 28751
3572926103	0.000335931777954	704	256	124679, 28657
3210252827	0.001023054122925	704	256	31699, 101273
3321296933	0.000262022018433	704	256	128399, 25867
4012608241	0.000824928283691	704	256	31387, 127843
2906411489	0.00031304359436	704	256	98419, 29531
3845396741	0.001090049743652	704	256	32687, 117643
3527950729	0.000458955764771	704	256	27647, 127607
3329453359	0.000391960144043	704	256	112859, 29501
3326297269	0.000642776489258	704	256	27449, 121181
3280246969	0.001436948776245	704	256	26171, 125339
3806005381	0.001171827316284	704	256	30341, 125441
3778908751	0.000371932983398	704	256	30203, 125117
2722393901	0.000769853591919	704	256	25741, 105761
3758834689	0.00096607208252	704	256	30269, 124181
2556117901	0.000597238540649	704	256	25411, 100591
3207655037	0.000698804855347	704	256	27059, 118543
3283520293	0.00115704536438	704	256	25117, 130729
3283427087	0.000340223312378	704	256	28081, 116927
3001882393	0.000860214233398	704	256	29327, 102359
3208267229	0.001319169998169	704	256	29027, 110527
2653656419	0.00073504447937	704	256	26203, 101273
3144837919	0.000681161880493	704	256	99871, 31489
3602688077	0.000312089920044	704	256	30803, 116959
4031464739	0.000838994979858	704	256	31249, 129011
3650398607	0.000430107116699	704	256	28901, 126307
3733419881	0.000476360321045	704	256	30181, 123701
3877637977	0.000653266906738	704	256	31357, 123661
3450203663	0.000300168991089	704	256	31817, 108439
2859112297	0.000705003738403	704	256	26407, 108271
2828827621	0.000432968139648	704	256	25759, 109819
2748625751	0.001136779785156	704	256	25343, 108457
3565864469	0.000627994537354	704	256	30809, 115741
3343356287	0.000600814819336	704	256	29873, 111919
3193135663	0.000673055648804	704	256	99901, 31963
3295382053	0.000564813613892	704	256	32327, 101939
3210801463	0.000530004501343	704	256	25031, 128273
3797921707	0.000965118408203	704	256	29027, 130841
3210517823	0.000916004180908	704	256	29173, 110051
4042538767	0.000441074371338	704	256	31079, 130073
3052361281	0.000792026519775	704	256	29147, 104723
3431089121	0.000484943389893	704	256	28537, 120233
[TEST] Preformance Test: findAllPollard with 48-bits primes.
[Integer to Factor]	[Elapsed Time]	[Memory Usage]	[Int Memory Usage]	[Factors]
237017682405857	0.007476091384888	704	256	32198839, 7361063
189149928329419	0.00245189666748	704	256	7497067, 25229857
213012057115723	0.007846117019653	704	256	6450779, 33021137
191697998426041	0.011883020401001	704	256	27715973, 6916517
232470763232989	0.003833770751953	704	256	7819111, 29731099
204041420366083	0.009591102600098	704	256	7251169, 28139107
221641946165831	0.002526998519897	704	256	6798991, 32599241
194124016668979	0.008967161178589	704	256	7371773, 26333423
205476280584833	0.005117893218994	704	256	6375133, 32230901
199406981452241	0.005055904388428	704	256	6758533, 29504477
214127039693261	0.007257699966431	704	256	26371517, 8119633
214187541761621	0.009807109832764	704	256	7838137, 27326333
238108839983359	0.016899108886719	704	256	7531283, 31615973
245254707957989	0.00370192527771	704	256	7321709, 33496921
218672001907123	0.00759220123291	704	256	28963321, 7549963
167374010958731	0.011719942092896	704	256	25609159, 6535709
192453421135253	0.004868030548096	704	256	6696779, 28738207
269377869966679	0.002646684646606	704	256	8076191, 33354569
187717562592839	0.00320291519165	704	256	7195997, 26086387
202854137927459	0.009040355682373	704	256	7071341, 28686799
174078963991019	0.002604007720947	704	256	6546131, 26592649
183078329468641	0.001183986663818	704	256	28621807, 6396463
227815730081993	0.006381988525391	704	256	27973063, 8144111
194796168735743	0.006497144699097	704	256	7179943, 27130601
220095124706827	0.004175186157227	704	256	7916861, 27800807
232201583708383	0.004678249359131	704	256	7157987, 32439509
200269326396091	0.006496906280518	704	256	6780881, 29534411
210085419319313	0.004870891571045	704	256	32256227, 6513019
224699430128839	0.013023853302002	704	256	8069107, 27846877
201820318803847	0.001695871353149	704	256	7059121, 28590007
201580914691297	0.008733987808228	704	256	7539431, 26736887
260086265630189	0.008822202682495	704	256	8068903, 32233163
261065730720713	0.006612062454224	704	256	7815659, 33402907
200399041428323	0.006812810897827	704	256	25417387, 7884329
245897892111581	0.015692710876465	704	256	8358473, 29418997
175975440364487	0.007244110107422	704	256	6576529, 26758103
169600901958847	0.005643129348755	704	256	6579733, 25776259
175899268484981	0.012821912765503	704	256	6536527, 26910203
218814081956471	0.015848875045776	704	256	29292353, 7470007
221722916876701	0.003599882125854	704	256	32299217, 6864653
202231666894393	0.007222175598145	704	256	25293461, 7995413
211072099747463	0.010701656341553	704	256	30632321, 6890503
175312342322993	0.00730299949646	704	256	6846811, 25604963
202005264645797	0.011432886123657	704	256	6949927, 29065811
190356020342539	0.008997917175293	704	256	29675519, 6414581
