203	2.8999056667089462e-06	7, 29
203	2.2800013539381325e-06	7, 29
217	2.400018274784088e-06	7, 31
217	1.8700011423788965e-06	7, 31
38509	9.599956683814526e-06	97, 397
38509	9.330004104413092e-06	97, 397
39673	1.4500110410153866e-05	97, 409
39673	8.950002666097134e-06	97, 409
41303	1.109996810555458e-05	103, 401
41303	9.399998816661537e-06	103, 401
41309	1.3199984095990658e-05	101, 409
41309	9.689996659290045e-06	101, 409
41807	1.0499963536858559e-05	97, 431
41807	9.379997209180146e-06	97, 431
42479	1.5900004655122757e-05	107, 397
42479	9.928997315000743e-06	107, 397
43157	1.6000005416572094e-05	103, 419
43157	9.81999619398266e-06	103, 419
43531	1.4899997040629387e-05	101, 431
43531	1.082000380847603e-05	101, 431
43957	1.209997572004795e-05	113, 389
43957	1.049999991664663e-05	113, 389
44329	1.4499993994832039e-05	97, 457
44329	9.269999281968921e-06	97, 457
44581	1.1899974197149277e-05	109, 409
44581	1.0180003300774843e-05	109, 409
44743	1.4899997040629387e-05	101, 443
44743	9.679999493528157e-06	101, 443
44833	1.6400008462369442e-05	107, 419
44833	1.0419993486721069e-05	107, 419
46157	1.0699965059757233e-05	101, 457
46157	9.719995432533324e-06	101, 457
46217	1.4499993994832039e-05	113, 409
46217	1.0660005500540137e-05	113, 409
46247	1.3899989426136017e-05	103, 449
46247	9.870003850664943e-06	103, 449
46331	1.610000617802143e-05	107, 433
46331	1.0049996490124613e-05	107, 433
46561	1.5099998563528061e-05	101, 461
46561	9.659997886046767e-06	101, 461
46763	1.2499978765845299e-05	101, 463
46763	9.789997420739383e-06	101, 463
46979	1.610000617802143e-05	109, 431
46979	1.0339994332753122e-05	109, 431
47167	1.550000160932541e-05	101, 467
47167	9.199997293762863e-06	101, 467
47347	1.1199968867003918e-05	113, 419
47347	1.069900463335216e-05	113, 419
47401	1.2199976481497288e-05	107, 443
47401	1.0240000847261399e-05	107, 443
47627	1.2499978765845299e-05	97, 491
47627	9.06000059330836e-06	97, 491
48403	1.00000761449337e-05	97, 499
48403	9.250004950445145e-06	97, 499
48703	1.279998105019331e-05	113, 431
48703	1.0659998224582523e-05	113, 431
48791	1.4400109648704529e-05	97, 503
48791	9.370000043418258e-06	97, 503
49187	1.550000160932541e-05	101, 487
49187	9.420000424142927e-06	101, 487
49403	1.8300022929906845e-05	127, 389
49403	1.2110001989640296e-05	127, 389
49541	1.400010660290718e-05	107, 463
49541	1.0159994417335838e-05	107, 463
50249	1.650000922381878e-05	109, 461
50249	1.0249998013023287e-05	109, 461
50419	1.379998866468668e-05	127, 397
50419	1.1719996109604836e-05	127, 397
50467	1.3899989426136017e-05	109, 463
50467	9.900002623908222e-06	109, 463
50737	1.2500095181167126e-05	113, 449
50737	1.0660005500540137e-05	113, 449
50803	1.4099990949034691e-05	101, 503
50803	9.520001185592264e-06	101, 503
50927	1.8600025214254856e-05	127, 401
50927	1.1889002053067088e-05	127, 401
51253	1.0399962775409222e-05	107, 479
51253	1.0219999239780009e-05	107, 479
51641	1.5199999324977398e-05	113, 457
51641	1.0750001820269972e-05	113, 457
51943	1.27000967040658e-05	127, 409
51943	1.1850002920255065e-05	127, 409
52109	1.2299977242946625e-05	107, 487
52109	1.026000245474279e-05	107, 487
53213	1.7900019884109497e-05	127, 419
53213	1.1780000932049006e-05	127, 419
53393	1.4199991710484028e-05	107, 499
53393	9.709998266771436e-06	107, 499
54127	1.1499971151351929e-05	113, 479
54127	1.0690004273783416e-05	113, 479
54391	1.6000005416572094e-05	109, 499
54391	1.1970005289185792e-05	109, 499
54737	1.6399892047047615e-05	127, 431
54737	1.1969998013228178e-05	127, 431
54991	1.1899974197149277e-05	127, 433
54991	1.1879994417540729e-05	127, 433
55483	1.2499978765845299e-05	113, 491
55483	1.0559997463133186e-05	113, 491
55753	1.8399907276034355e-05	127, 439
55753	1.1819996871054173e-05	127, 439
56261	1.8900027498602867e-05	127, 443
56261	1.1900003300979733e-05	127, 443
56387	1.5300000086426735e-05	113, 499
56387	1.078000059351325e-05	113, 499
56839	1.5900004655122757e-05	113, 503
