203	7.1999384090304375e-06	7, 29
217	7.300055585801601e-06	7, 31
49403	2.0600040443241596e-05	127, 389
44833	1.5600002370774746e-05	107, 419
56387	8.699949830770493e-06	113, 499
47167	1.4899997040629387e-05	101, 467
51641	8.100061677396297e-06	113, 457
54737	1.3899989426136017e-05	127, 431
46561	1.4499993994832039e-05	101, 461
50467	2.489995677024126e-05	109, 463
46331	1.1499971151351929e-05	107, 433
55753	1.4899997040629387e-05	127, 439
56839	9.599956683814526e-06	113, 503
64643	1.4199991710484028e-05	127, 509
53213	1.3600103557109833e-05	127, 419
60833	1.3199984095990658e-05	127, 479
43531	1.4399993233382702e-05	101, 431
46763	1.4899997040629387e-05	101, 463
46217	9.499955922365189e-06	113, 409
61849	1.370010431855917e-05	127, 487
51253	1.170008908957243e-05	107, 479
44581	3.670004662126303e-05	109, 409
49187	1.5400000847876072e-05	101, 487
50419	1.3899989426136017e-05	127, 397
50927	1.3399985618889332e-05	127, 401
50803	1.4499993994832039e-05	101, 503
44329	7.800059393048286e-06	97, 457
41309	1.5099998563528061e-05	101, 409
39673	7.6000578701496124e-06	97, 409
42479	1.2499978765845299e-05	107, 397
44743	1.6600009985268116e-05	101, 443
59309	1.3999990187585354e-05	127, 467
57023	1.479999627918005e-05	127, 449
47627	6.500049494206905e-06	97, 491
46979	2.4099950678646564e-05	109, 431
54391	2.380006480962038e-05	109, 499
48791	6.09993003308773e-06	97, 503
52109	1.0599964298307896e-05	107, 487
56261	1.6300007700920105e-05	127, 443
63373	1.5700003132224083e-05	127, 499
50737	8.499948307871819e-06	113, 449
48703	8.900067768990993e-06	113, 431
47347	1.1599971912801266e-05	113, 419
55483	1.0100076906383038e-05	113, 491
43957	8.800067007541656e-06	113, 389
62357	1.4099990949034691e-05	127, 491
50249	2.3000058718025684e-05	109, 461
43157	1.8600025214254856e-05	419, 103
54991	1.3100099749863148e-05	127, 433
41303	1.989991869777441e-05	103, 401
46157	1.3600103557109833e-05	101, 457
41807	7.100054062902927e-06	97, 431
53393	1.00000761449337e-05	107, 499
49541	1.109996810555458e-05	107, 463
51943	1.309998333454132e-05	127, 409
46247	2.1799933165311813e-05	103, 449
38509	7.400056347250938e-06	97, 397
54127	1.0100076906383038e-05	113, 479
48403	8.00006091594696e-06	97, 499
47401	1.4499993994832039e-05	107, 443
3302891093	8.87999776750803e-05	26417, 125029
2961085739	0.0004362999461591244	111031, 26669
3870236791	0.0003714999184012413	31079, 124529
3160915273	9.840005077421665e-05	31247, 101159
3450908651	0.0002164000179618597	26987, 127873
3300947743	0.00041480001527816057	25423, 129841
2511198461	0.00025240005925297737	100823, 24907
3480945463	0.00025349995121359825	32183, 108161
3637756867	0.00018239999189972878	31063, 117109
3761758103	0.00023020000662654638	30949, 121547
3198528493	0.00026940007228404284	29567, 108179
3698992049	0.0005626999773085117	32009, 115561
2980360717	0.0002476000227034092	24659, 120863
3446464531	0.0003662999952211976	30341, 113591
3190907009	7.819989696145058e-05	25609, 124601
3834202949	0.0003119000466540456	118717, 32297
4061150879	0.0003432999365031719	31189, 130211
